Fighter,KD,Sig. str.,Sig. str. %,Total str.,Td,Td %,Sub. att,Pass,Rev.
Veronica Macedo,0,1 of 1,100%,1 of 1,0 of 0,0%,1,0,1
Colby Covington,0,179 of 515,34%,201 of 541,10 of 18,55%,0,0,0
Jim Miller,0,2 of 8,25%,2 of 8,0 of 0,0%,1,0,0
Nasrat Haqparast,1,21 of 38,55%,21 of 38,0 of 0,0%,0,0,0
Gerald Meerschaert,0,6 of 19,31%,31 of 55,1 of 3,33%,1,2,2
Scott Holtzman,1,44 of 92,47%,55 of 108,1 of 2,50%,0,3,0
Kennedy Nzechukwu,0,50 of 123,40%,50 of 123,0 of 0,0%,0,0,0
Mickey Gall,0,50 of 117,42%,66 of 136,1 of 7,14%,0,1,0
Antonina Shevchenko,0,16 of 23,69%,36 of 44,0 of 0,0%,3,1,0
Matt Schnell,0,3 of 12,25%,3 of 12,0 of 0,0%,1,0,0
Lauren Murphy,1,24 of 123,19%,35 of 144,0 of 1,0%,0,1,0
Claudio Silva,0,32 of 37,86%,32 of 38,1 of 1,100%,1,1,0
Miranda Granger,0,61 of 143,42%,77 of 162,0 of 0,0%,0,0,0
Max Holloway,0,129 of 328,39%,131 of 330,0 of 0,0%,0,0,0
Cris Cyborg,0,122 of 216,56%,138 of 234,0 of 0,0%,0,1,0
Geoff Neal,0,41 of 61,67%,53 of 73,2 of 4,50%,0,2,0
Arman Tsarukyan,0,47 of 105,44%,110 of 174,2 of 11,18%,0,0,0
Krzysztof Jotko,0,40 of 117,34%,98 of 181,1 of 7,14%,0,0,1
Viviane Araujo,0,67 of 148,45%,79 of 162,2 of 2,100%,0,0,0
Hakeem Dawodu,1,80 of 154,51%,89 of 166,0 of 0,0%,0,0,0
Gavin Tucker,0,37 of 62,59%,49 of 77,5 of 13,38%,2,3,1
Deiveson Figueiredo,1,67 of 113,59%,71 of 117,2 of 3,66%,0,2,0
Gillian Robertson,0,29 of 42,69%,51 of 64,2 of 3,66%,0,4,0
Erik Koch,0,37 of 63,58%,67 of 99,4 of 11,36%,0,4,0
Leon Edwards,0,92 of 215,42%,113 of 244,3 of 10,30%,0,2,0
Walt Harris,1,4 of 7,57%,4 of 7,0 of 0,0%,0,0,0
Greg Hardy,0,36 of 38,94%,36 of 38,0 of 0,0%,0,0,0
Dan Hooker,1,22 of 41,53%,22 of 41,0 of 0,0%,0,0,0
Alexander Hernandez,0,25 of 91,27%,26 of 92,0 of 1,0%,0,0,0
Andrei Arlovski,0,152 of 263,57%,160 of 272,0 of 0,0%,0,0,0
Alex Caceres,0,94 of 197,47%,95 of 198,0 of 0,0%,0,0,0
Raquel Pennington,0,47 of 137,34%,86 of 181,1 of 6,16%,0,1,0
Klidson Abreu,0,36 of 89,40%,61 of 115,1 of 3,33%,0,1,0
Jennifer Maia,0,83 of 174,47%,111 of 205,0 of 0,0%,0,0,0
Ray Borg,0,15 of 23,65%,23 of 34,6 of 9,66%,1,7,1
Mario Bautista,0,129 of 248,52%,179 of 301,0 of 2,0%,0,0,0
Felipe Colares,0,23 of 42,54%,92 of 132,2 of 8,25%,0,1,0
Germaine de Randamie,1,4 of 5,80%,4 of 5,0 of 0,0%,0,0,0
Urijah Faber,1,11 of 15,73%,11 of 15,0 of 0,0%,0,0,0
Josh Emmett,1,27 of 52,51%,33 of 60,0 of 0,0%,0,1,0
Karl Roberson,0,50 of 80,62%,79 of 113,0 of 0,0%,0,1,3
Marvin Vettori,0,78 of 148,52%,106 of 176,2 of 4,50%,0,2,0
John Allan,0,55 of 128,42%,75 of 154,4 of 6,66%,3,3,0
Andre Fili,1,19 of 55,34%,20 of 58,0 of 0,0%,0,0,0
Julianna Pena,0,45 of 90,50%,108 of 158,2 of 4,50%,0,2,0
Ryan Hall,2,36 of 83,43%,40 of 93,0 of 1,0%,1,0,1
Jonathan Martinez,1,32 of 113,28%,32 of 113,0 of 0,0%,0,0,0
Brianna Van Buren,0,72 of 187,38%,88 of 204,3 of 4,75%,0,0,0
Benito Lopez,0,54 of 132,40%,54 of 132,0 of 0,0%,0,0,0
Jon Jones,0,59 of 90,65%,59 of 90,0 of 1,0%,0,0,0
Amanda Nunes,1,17 of 35,48%,17 of 36,0 of 1,0%,0,0,0
Jorge Masvidal,1,3 of 3,100%,3 of 3,0 of 0,0%,0,0,0
Jan Blachowicz,1,30 of 42,71%,38 of 50,0 of 0,0%,0,0,0
Michael Chiesa,0,47 of 67,70%,98 of 132,5 of 6,83%,0,8,1
Arnold Allen,0,102 of 190,53%,102 of 191,1 of 2,50%,0,0,0
Marlon Vera,0,10 of 27,37%,26 of 54,1 of 1,100%,1,2,0
Claudia Gadelha,0,40 of 107,37%,41 of 108,0 of 1,0%,0,0,0
Song Yadong,1,8 of 20,40%,8 of 20,0 of 0,0%,0,0,0
Edmen Shahbazyan,0,13 of 24,54%,13 of 24,1 of 1,100%,1,2,0
Chance Rencountre,0,4 of 24,16%,48 of 112,2 of 8,25%,0,4,0
Julia Avila,1,49 of 122,40%,66 of 142,0 of 1,0%,0,2,0
Francis Ngannou,1,9 of 19,47%,9 of 19,0 of 0,0%,0,0,0
Joseph Benavidez,1,50 of 115,43%,72 of 138,0 of 0,0%,0,1,0
Demian Maia,0,3 of 12,25%,74 of 86,3 of 9,33%,0,4,1
Vinc Pichel,0,60 of 101,59%,81 of 122,3 of 6,50%,1,6,1
Drew Dober,1,16 of 27,59%,17 of 29,0 of 0,0%,0,0,0
Alonzo Menifield,0,8 of 22,36%,8 of 23,0 of 0,0%,0,0,0
Ricardo Ramos,0,40 of 120,33%,48 of 129,3 of 3,100%,0,3,0
Eryk Anders,1,11 of 15,73%,13 of 17,0 of 0,0%,0,0,0
Jared Gordon,0,48 of 79,60%,171 of 218,2 of 6,33%,0,5,2
Dalcha Lungiambula,1,32 of 43,74%,64 of 80,4 of 6,66%,0,4,0
Amanda Ribas,0,21 of 41,51%,67 of 92,2 of 5,40%,2,3,0
Maurice Greene,2,37 of 83,44%,39 of 85,0 of 0,0%,0,2,0
Chan Sung Jung,1,16 of 24,66%,18 of 26,0 of 0,0%,0,2,0
Randy Brown,1,89 of 152,58%,91 of 154,0 of 0,0%,0,0,0
Andre Ewell,0,73 of 173,42%,74 of 174,0 of 0,0%,0,0,0
Andrea Lee,0,73 of 126,57%,82 of 135,1 of 3,33%,0,2,0
Kevin Holland,0,58 of 117,49%,192 of 253,0 of 3,0%,0,0,0
Dan Ige,1,71 of 125,56%,92 of 146,1 of 4,25%,0,3,0
Ashley Yoder,0,75 of 100,75%,147 of 194,1 of 5,20%,0,8,0
Luis Pena,0,87 of 148,58%,98 of 160,1 of 1,100%,1,7,1
Jairzinho Rozenstruik,1,4 of 4,100%,4 of 4,0 of 0,0%,0,0,0
Molly McCann,0,108 of 213,50%,109 of 214,2 of 2,100%,0,2,0
Deron Winn,0,169 of 367,46%,171 of 369,0 of 3,0%,0,0,0
Henry Cejudo,0,90 of 171,52%,99 of 182,1 of 4,25%,1,1,0
Valentina Shevchenko,1,8 of 11,72%,37 of 40,2 of 2,100%,1,3,0
Tony Ferguson,0,104 of 200,52%,104 of 200,0 of 0,0%,0,0,0
Petr Yan,2,56 of 189,29%,58 of 192,1 of 3,33%,0,1,0
Blagoy Ivanov,1,73 of 123,59%,81 of 131,2 of 2,100%,0,0,0
Tatiana Suarez,0,75 of 142,52%,95 of 166,4 of 13,30%,0,2,0
Aljamain Sterling,0,174 of 349,49%,175 of 350,0 of 7,0%,0,0,0
Alexa Grasso,0,148 of 369,40%,163 of 384,0 of 0,0%,1,0,0
Calvin Kattar,1,22 of 41,53%,22 of 41,0 of 0,0%,0,0,0
Yan Xiaonan,0,94 of 249,37%,105 of 264,1 of 1,100%,0,1,0
Darren Stewart,0,30 of 73,41%,40 of 84,0 of 0,0%,0,0,0
Eddie Wineland,2,74 of 171,43%,74 of 171,0 of 2,0%,0,0,0
Katlyn Chookagian,0,82 of 221,37%,108 of 250,0 of 2,0%,0,0,0
Anthony Smith,0,49 of 104,47%,51 of 107,0 of 1,0%,1,1,0
Aleksandar Rakic,1,2 of 7,28%,2 of 7,0 of 0,0%,0,0,0
Makwan Amirkhani,0,9 of 27,33%,18 of 36,1 of 2,50%,1,2,0
Christos Giagos,0,47 of 113,41%,67 of 141,6 of 13,46%,0,3,0
Daniel Teymur,0,40 of 83,48%,49 of 93,1 of 6,16%,0,0,0
Sergey Khandozhko,1,60 of 149,40%,60 of 151,1 of 6,16%,0,1,0
Lina Lansberg,0,50 of 68,73%,151 of 181,1 of 2,50%,0,2,1
Leonardo Santos,1,12 of 16,75%,12 of 16,0 of 0,0%,0,0,0
Frank Camacho,0,100 of 201,49%,105 of 208,0 of 0,0%,0,0,0
Bea Malecki,0,19 of 71,26%,30 of 82,0 of 0,0%,2,1,0
Devin Clark,0,40 of 95,42%,90 of 149,2 of 11,18%,0,0,0
Joel Alvarez,0,19 of 41,46%,87 of 113,0 of 0,0%,0,1,1
Rafael Dos Anjos,0,60 of 111,54%,75 of 126,4 of 7,57%,1,4,1
Ian Heinisch,0,39 of 67,58%,79 of 115,1 of 1,100%,0,5,0
Felicia Spencer,0,22 of 31,70%,25 of 34,1 of 2,50%,1,1,0
Vicente Luque,1,18 of 25,72%,18 of 25,0 of 0,0%,0,0,0
Charles Oliveira,1,38 of 59,64%,43 of 64,0 of 0,0%,1,3,1
Davi Ramos,0,63 of 114,55%,76 of 128,3 of 7,42%,0,3,0
Aspen Ladd,0,69 of 125,55%,85 of 143,3 of 4,75%,3,6,0
Desmond Green,0,78 of 144,54%,85 of 152,4 of 4,100%,0,1,0
Michel Pereira,1,6 of 11,54%,6 of 11,0 of 0,0%,0,0,0
Grant Dawson,0,27 of 56,48%,34 of 63,3 of 10,30%,1,4,0
Ed Herman,1,11 of 35,31%,14 of 38,0 of 0,0%,0,0,0
Zak Cummings,1,34 of 100,34%,41 of 107,0 of 2,0%,1,0,0
Julio Arce,1,74 of 160,46%,74 of 160,1 of 1,100%,0,0,0
Jessica Andrade,0,47 of 105,44%,49 of 107,2 of 4,50%,0,0,0
Jared Cannonier,1,17 of 31,54%,18 of 32,0 of 0,0%,0,0,0
Alexander Volkanovski,0,95 of 176,53%,129 of 215,0 of 3,0%,0,0,0
Laureano Staropoli,0,54 of 202,26%,57 of 205,1 of 1,100%,0,0,0
Irene Aldana,0,83 of 247,33%,84 of 248,0 of 0,0%,1,1,0
Ryan Spann,1,13 of 32,40%,13 of 32,1 of 2,50%,1,1,0
Thiago Moises,0,66 of 102,64%,115 of 160,4 of 6,66%,1,4,0
Warlley Alves,1,72 of 157,45%,72 of 157,0 of 0,0%,0,0,0
Clay Guida,0,80 of 208,38%,113 of 242,1 of 2,50%,0,0,0
Luana Carolina,1,111 of 231,48%,126 of 251,0 of 0,0%,3,1,2
Raoni Barcelos,1,59 of 123,47%,70 of 137,0 of 1,0%,1,3,0
Viviane Araujo,1,61 of 115,53%,66 of 120,3 of 3,100%,0,3,0
Donald Cerrone,2,138 of 361,38%,140 of 363,0 of 0,0%,0,0,0
Derek Brunson,0,56 of 94,59%,65 of 103,4 of 9,44%,0,5,0
Shane Burgos,0,134 of 268,50%,147 of 282,0 of 0,0%,0,0,0
Merab Dvalishvili,0,55 of 102,53%,215 of 274,5 of 9,55%,0,3,0
Walt Harris,1,17 of 28,60%,17 of 28,0 of 0,0%,0,0,0
Andrew Sanchez,0,72 of 148,48%,102 of 181,2 of 8,25%,0,3,0
Macy Chiasson,0,43 of 66,65%,82 of 107,0 of 0,0%,0,3,2
Vince Morales,0,59 of 194,30%,59 of 194,0 of 0,0%,0,0,0
Nordine Taleb,0,90 of 201,44%,90 of 201,0 of 0,0%,0,0,0
Matt Sayles,0,75 of 147,51%,106 of 181,0 of 0,0%,1,3,1
Arjan Bhullar,0,41 of 62,66%,69 of 94,2 of 2,100%,0,2,0
Cole Smith,0,38 of 88,43%,56 of 111,2 of 4,50%,2,2,0
Jack Hermansson,0,148 of 372,39%,256 of 496,3 of 10,30%,1,1,0
Greg Hardy,0,14 of 30,46%,17 of 33,0 of 0,0%,0,0,0
Mike Perry,0,65 of 110,59%,75 of 120,0 of 1,0%,0,1,0
Glover Teixeira,0,30 of 57,52%,35 of 63,0 of 7,0%,1,3,0
Cory Sandhagen,0,120 of 275,43%,128 of 283,2 of 4,50%,0,0,0
Roosevelt Roberts,0,53 of 85,62%,95 of 132,2 of 4,50%,0,6,0
Takashi Sato,1,28 of 69,40%,33 of 74,0 of 0,0%,0,0,0
Augusto Sakai,0,42 of 132,31%,51 of 141,0 of 1,0%,0,0,0
Carla Esparza,0,25 of 51,49%,97 of 128,4 of 10,40%,0,3,1
Gilbert Burns,0,49 of 87,56%,81 of 122,3 of 6,50%,1,4,0
Jim Miller,0,6 of 11,54%,8 of 14,2 of 2,100%,1,1,0
Angela Hill,0,117 of 236,49%,118 of 237,0 of 3,0%,0,0,0
Dhiego Lima,0,65 of 159,40%,67 of 161,0 of 3,0%,0,0,0
Alistair Overeem,1,29 of 33,87%,31 of 35,0 of 1,0%,0,0,0
Islam Makhachev,0,14 of 20,70%,47 of 53,4 of 9,44%,0,2,0
Sergei Pavlovich,1,17 of 26,65%,17 of 26,0 of 0,0%,0,0,0
Roxanne Modafferi,0,33 of 79,41%,105 of 162,5 of 6,83%,0,5,2
Krzysztof Jotko,0,43 of 69,62%,111 of 149,4 of 4,100%,0,5,0
Movsar Evloev,0,50 of 78,64%,121 of 156,5 of 16,31%,0,1,0
Sultan Aliev,0,25 of 63,39%,32 of 70,2 of 7,28%,0,0,0
Alexander Yakovlev,0,14 of 19,73%,18 of 23,1 of 2,50%,1,0,0
Shamil Abdurakhimov,1,36 of 87,41%,36 of 87,0 of 3,0%,0,0,0
Michal Oleksiejczuk,3,8 of 10,80%,8 of 10,0 of 0,0%,0,0,0
Magomed Mustafaev,1,10 of 12,83%,11 of 13,0 of 0,0%,0,0,0
Dustin Poirier,0,178 of 381,46%,180 of 383,1 of 8,12%,0,0,0
Israel Adesanya,4,109 of 237,45%,119 of 247,0 of 0,0%,2,0,0
Khalil Rountree Jr.,4,79 of 157,50%,83 of 162,0 of 0,0%,0,0,0
Dwight Grant,0,38 of 122,31%,39 of 123,0 of 0,0%,0,0,0
Nikita Krylov,0,27 of 44,61%,60 of 79,1 of 2,50%,2,2,0
Matt Frevola,0,31 of 77,40%,49 of 95,4 of 13,30%,2,7,2
Alexandre Pantoja,1,23 of 33,69%,26 of 36,0 of 0,0%,0,0,0
Max Griffin,0,47 of 92,51%,72 of 121,6 of 11,54%,3,2,0
Khalid Taha,1,5 of 5,100%,5 of 5,0 of 0,0%,0,0,0
Belal Muhammad,0,47 of 107,43%,126 of 217,2 of 6,33%,0,6,0
Montel Jackson,0,64 of 107,59%,160 of 218,3 of 4,75%,0,3,1
Poliana Botelho,0,47 of 84,55%,152 of 202,2 of 2,100%,0,2,0
Brandon Davis,0,35 of 88,39%,40 of 93,0 of 0,0%,1,0,0
Justin Gaethje,1,20 of 35,57%,22 of 37,0 of 0,0%,0,0,0
Jack Hermansson,0,3 of 10,30%,3 of 10,1 of 2,50%,1,1,0
Josh Emmett,1,22 of 87,25%,22 of 87,0 of 3,0%,0,0,0
Michelle Waterson,0,64 of 149,42%,82 of 167,2 of 4,50%,1,1,0
Paul Craig,0,25 of 77,32%,31 of 83,1 of 16,6%,2,0,1
Sodiq Yusuff,1,73 of 148,49%,99 of 177,0 of 3,0%,0,1,0
Marina Rodriguez,1,118 of 202,58%,129 of 213,0 of 1,0%,0,0,1
Desmond Green,1,25 of 32,78%,25 of 32,1 of 2,50%,0,0,0
Kevin Aguilar,0,58 of 243,23%,58 of 243,0 of 0,0%,0,0,0
Kevin Holland,0,27 of 43,62%,76 of 98,1 of 2,50%,2,4,2
Casey Kenney,0,32 of 52,61%,46 of 68,2 of 3,66%,0,4,3
Maryna Moroz,0,56 of 190,29%,74 of 208,1 of 9,11%,0,0,0
Alex Perez,0,60 of 110,54%,150 of 220,2 of 4,50%,0,1,0
Anthony Pettis,1,32 of 55,58%,32 of 55,0 of 0,0%,0,0,0
Curtis Blaydes,0,22 of 33,66%,72 of 90,7 of 11,63%,0,4,0
John Makdessi,0,73 of 137,53%,75 of 139,0 of 0,0%,0,0,0
Jussier Formiga,0,26 of 51,50%,51 of 78,3 of 5,60%,0,7,0
Luis Pena,0,52 of 112,46%,66 of 127,1 of 3,33%,0,1,2
Maycee Barber,0,55 of 110,50%,59 of 115,0 of 0,0%,0,0,0
Bryce Mitchell,0,17 of 44,38%,28 of 56,0 of 3,0%,2,1,1
Marlon Vera,1,12 of 16,75%,13 of 17,0 of 0,0%,0,0,0
Jennifer Maia,0,60 of 128,46%,70 of 142,0 of 0,0%,0,0,0
Randa Markos,0,13 of 26,50%,20 of 33,1 of 1,100%,1,2,0
Chris Gutierrez,0,69 of 121,57%,70 of 123,0 of 0,0%,0,0,0
Jordan Espinosa,0,47 of 105,44%,47 of 105,1 of 3,33%,0,0,0
Jorge Masvidal,1,35 of 72,48%,41 of 79,1 of 2,50%,0,0,0
Leon Edwards,1,31 of 49,63%,47 of 69,2 of 3,66%,0,1,0
Dominick Reyes,0,44 of 121,36%,47 of 124,0 of 2,0%,0,0,0
Nathaniel Wood,0,30 of 81,37%,39 of 91,2 of 3,66%,2,3,1
Claudio Silva,0,19 of 38,50%,35 of 56,3 of 5,60%,4,5,0
Jack Marshman,0,31 of 149,20%,31 of 149,0 of 0,0%,0,0,0
Arnold Allen,1,37 of 111,33%,41 of 117,0 of 0,0%,0,0,0
Marc Diakiese,1,63 of 106,59%,80 of 125,3 of 4,75%,0,2,0
Saparbeg Safarov,0,70 of 86,81%,139 of 156,3 of 5,60%,0,7,0
Dan Ige,1,10 of 17,58%,10 of 17,1 of 1,100%,1,1,0
Molly McCann,0,107 of 197,54%,110 of 200,2 of 11,18%,2,2,1
Mike Grundy,1,33 of 56,58%,36 of 59,1 of 3,33%,0,1,0
Junior Dos Santos,1,29 of 55,52%,29 of 55,0 of 0,0%,0,0,0
Elizeu Zaleski dos Santos,0,6 of 9,66%,10 of 13,1 of 1,100%,1,2,0
Niko Price,1,32 of 67,47%,36 of 73,0 of 0,0%,0,0,0
Blagoy Ivanov,0,72 of 178,40%,73 of 179,0 of 0,0%,0,0,0
Beneil Dariush,0,37 of 65,56%,41 of 69,2 of 5,40%,1,4,0
Omari Akhmedov,0,52 of 135,38%,58 of 141,0 of 2,0%,0,0,0
Anthony Rocco Martin,0,50 of 152,32%,70 of 172,0 of 0,0%,0,1,1
Yana Kunitskaya,0,98 of 223,43%,113 of 239,1 of 1,100%,0,0,0
Grant Dawson,0,57 of 128,44%,86 of 166,6 of 11,54%,1,5,0
Maurice Greene,0,70 of 161,43%,72 of 163,0 of 0,0%,0,0,0
Matt Schnell,0,14 of 40,35%,16 of 42,1 of 1,100%,2,1,0
Alex Morono,0,25 of 55,45%,25 of 55,0 of 0,0%,1,2,1
Alex White,0,49 of 82,59%,70 of 104,2 of 3,66%,3,0,0
Jon Jones,0,125 of 167,74%,238 of 287,3 of 8,37%,0,0,0
Kamaru Usman,0,141 of 194,72%,336 of 390,2 of 6,33%,0,7,0
Ben Askren,0,0 of 1,0%,3 of 5,1 of 2,50%,1,0,0
Weili Zhang,0,63 of 142,44%,118 of 204,2 of 8,25%,0,4,1
Pedro Munhoz,1,25 of 47,53%,28 of 51,0 of 1,0%,0,1,0
Zabit Magomedsharipov,0,70 of 129,54%,83 of 146,3 of 8,37%,0,4,0
Johnny Walker,1,4 of 8,50%,4 of 8,0 of 0,0%,0,0,0
Cody Stamann,0,48 of 121,39%,49 of 122,0 of 8,0%,0,0,0
Diego Sanchez,0,56 of 87,64%,61 of 92,4 of 4,100%,0,5,0
Edmen Shahbazyan,1,13 of 21,61%,13 of 21,0 of 0,0%,0,0,0
Macy Chiasson,1,25 of 49,51%,25 of 49,0 of 0,0%,0,0,0
Hannah Cifers,1,67 of 155,43%,91 of 182,0 of 0,0%,0,0,0
Thiago Santos,1,52 of 104,50%,52 of 104,1 of 1,100%,0,1,0
Stefan Struve,0,0 of 3,0%,2 of 7,1 of 1,100%,1,2,0
Michal Oleksiejczuk,1,14 of 22,63%,14 of 22,0 of 0,0%,0,0,0
Liz Carmouche,0,14 of 29,48%,40 of 56,3 of 3,100%,2,2,0
Petr Yan,0,80 of 155,51%,102 of 180,2 of 5,40%,0,0,0
Magomed Ankalaev,1,30 of 67,44%,66 of 107,1 of 3,33%,0,2,0
Dwight Grant,1,20 of 53,37%,22 of 55,0 of 0,0%,0,0,0
Chris Fishgold,0,14 of 32,43%,19 of 39,5 of 10,50%,2,5,0
Gillian Robertson,0,5 of 8,62%,10 of 14,2 of 4,50%,1,7,3
Damir Hadzovic,0,58 of 109,53%,70 of 121,2 of 3,66%,0,3,0
Ismail Naurdiev,0,63 of 103,61%,105 of 157,0 of 1,0%,1,4,2
Diego Ferreira,0,83 of 284,29%,91 of 293,0 of 0,0%,1,0,0
Damir Ismagulov,0,64 of 150,42%,64 of 150,0 of 0,0%,0,0,0
Francis Ngannou,0,6 of 10,60%,6 of 10,0 of 0,0%,0,0,0
Paul Felder,0,55 of 119,46%,70 of 134,0 of 0,0%,0,0,0
Cynthia Calvillo,0,82 of 192,42%,82 of 192,0 of 6,0%,0,0,0
Kron Gracie,0,2 of 10,20%,3 of 11,1 of 2,50%,1,1,0
Vicente Luque,1,163 of 241,67%,164 of 242,0 of 0,0%,2,1,1
Andre Fili,0,98 of 226,43%,98 of 226,0 of 0,0%,0,0,0
Aljamain Sterling,0,101 of 176,57%,129 of 206,0 of 7,0%,0,0,0
Manny Bermudez,0,7 of 10,70%,14 of 19,1 of 1,100%,1,2,0
Andrea Lee,0,111 of 209,53%,118 of 216,0 of 2,0%,0,0,0
Nik Lentz,0,71 of 122,58%,79 of 130,5 of 19,26%,1,2,0
Luke Sanders,1,39 of 75,52%,41 of 78,0 of 1,0%,0,0,0
Emily Whitmire,0,3 of 5,60%,8 of 11,1 of 1,100%,1,2,0
Israel Adesanya,0,65 of 132,49%,65 of 132,0 of 0,0%,0,0,0
Lando Vannata,0,20 of 40,50%,39 of 64,1 of 1,100%,1,2,0
Ricky Simon,2,54 of 137,39%,66 of 150,4 of 5,80%,0,2,0
Montana De La Rosa,0,21 of 35,60%,79 of 101,2 of 3,66%,3,7,0
Jimmy Crute,1,14 of 32,43%,17 of 36,0 of 0,0%,0,0,0
Devonte Smith,1,19 of 43,44%,19 of 43,0 of 0,0%,0,0,0
Shane Young,1,120 of 308,38%,121 of 309,0 of 2,0%,0,0,0
Kai Kara-France,0,58 of 168,34%,60 of 170,2 of 7,28%,0,0,0
Kyung Ho Kang,1,26 of 58,44%,30 of 62,1 of 1,100%,1,1,0
Jalin Turner,1,9 of 17,52%,9 of 17,0 of 0,0%,0,1,0
Jonathan Martinez,0,47 of 87,54%,63 of 110,1 of 2,50%,0,4,1
Marlon Moraes,1,10 of 23,43%,12 of 25,0 of 0,0%,1,2,0
Jose Aldo,0,26 of 50,52%,26 of 50,0 of 0,0%,0,0,0
Demian Maia,0,0 of 1,0%,8 of 9,2 of 4,50%,2,1,0
Charles Oliveira,0,28 of 58,48%,31 of 61,1 of 1,100%,1,1,0
Johnny Walker,1,7 of 8,87%,7 of 8,0 of 0,0%,0,0,0
Livinha Souza,0,23 of 65,35%,75 of 118,4 of 10,40%,3,2,0
Markus Perez,0,16 of 32,50%,19 of 35,1 of 7,14%,1,1,0
Mara Romero Borella,0,29 of 83,34%,84 of 140,2 of 5,40%,0,2,0
Thiago Alves,0,83 of 135,61%,91 of 143,0 of 1,0%,0,0,0
Jairzinho Rozenstruik,1,19 of 27,70%,26 of 34,0 of 0,0%,0,0,1
Geraldo de Freitas,0,49 of 76,64%,68 of 96,6 of 9,66%,0,11,2
